dishName,cuisine,dishId
curried green bean salad,south indian|karnataka,1
curried green bean salad,south indian|karnataka,471
keema aloo,north indian|punjab,2
keema aloo,north indian|punjab,67
keema,punjab,62
roti,north indian,125
paratha,north indian|punjab,3
paratha,north indian|punjab,566
paratha,north indian|punjab,664
black chana with potato,north indian|punjab,4
black chana with potato,north indian|punjab,588
masoor dal,north indian,6
masoor dal,north indian,243
masoor dal,north indian,433
coconut chutney,south indian|karnataka,7
coconut chutney,south indian|karnataka,374
tamarind sauce fish curry,south indian|andhra pradesh,8
kashmiri lamb,north indian|kashmir,9
kashmiri lamb,north indian|kashmir,142
kashmiri lamb,north indian|kashmir,9
kashmiri lamb,north indian|kashmir,142
chicken tikka masala,north indian|punjab,10
chicken tikka masala,north indian|punjab,14
chicken tikka masala,north indian|punjab,34
chicken tikka masala,north indian|punjab,45
chicken tikka masala,north indian|punjab,99
chicken tikka masala,north indian|punjab,166
chicken tikka masala,north indian|punjab,577
chicken tikka masala,north indian|punjab,920
chicken tikka masala,north indian|punjab,1102
naan,north indian|punjab,11
naan,north indian|punjab,53
naan,north indian|punjab,126
naan,north indian|punjab,268
naan,north indian|punjab,287
naan,north indian|punjab,11
naan,north indian|punjab,53
naan,north indian|punjab,126
naan,north indian|punjab,268
naan,north indian|punjab,287
mulligatawny soup,south indian|tamil nadu,12
mulligatawny soup,south indian|tamil nadu,90
mulligatawny soup,south indian|tamil nadu,308
vegetarian korma,north indian|uttar pradesh,13
butter chicken,north indian|delhi,18
butter chicken,north indian|delhi,23
butter chicken,north indian|delhi,80
butter chicken,north indian|delhi,112
butter chicken,north indian|delhi,218
butter chicken,north indian|delhi,358
butter chicken,north indian|delhi,481
butter chicken,north indian|delhi,516
butter chicken,north indian|delhi,560
butter chicken,north indian|delhi,707
spicy vegan potato curry,north indian|punjab,19
carrot rice,south indian|tamil nadu,21
chickpea curry,north indian|punjab,22
chickpea curry,north indian|punjab,98
chickpea curry,north indian|punjab,141
chickpea curry,north indian|punjab,235
chickpea curry,north indian|punjab,479
chana masala,north indian|punjab,72
chana masala,north indian|punjab,214
chana masala,north indian|punjab,228
chana masala,north indian|punjab,389
baingan bharta,north indian|punjab,24
baingan bharta,north indian|punjab,39
baingan bharta,north indian|punjab,209
aloo phujia,west indian|maharashtra,25
tandoori chicken,north indian|punjab,64
tandoori chicken,north indian|punjab,224
tandoori chicken,north indian|punjab,263
tandoori chicken,north indian|punjab,361
basmati rice,north indian|haryana,28
chicken korma,north indian|uttar pradesh,29
chicken korma,north indian|uttar pradesh,73
chicken korma,north indian|uttar pradesh,124
chicken korma,north indian|uttar pradesh,173
chicken korma,north indian|uttar pradesh,679
mango lassi,north indian|punjab,31
mango lassi,north indian|punjab,183
mango lassi,north indian|punjab,245
mango lassi,north indian|punjab,276
mango lassi,north indian|punjab,355
mango lassi,north indian|punjab,585
palak paneer,north indian|punjab,32
palak paneer,north indian|punjab,115
palak paneer,north indian|punjab,380
palak paneer,north indian|punjab,428
palak paneer,north indian|punjab,472
palak paneer,north indian|punjab,484
palak paneer,north indian|punjab,721
beef samosas,north indian|delhi,35
samosas,north indian,171
shrimp curry,west indian|goa,41
