dishId,tags
1,bean|clove|curry|garlic|masala|onion|salad|salt|sugar|turmeric|vinegar|southindian|karnataka
2,beef|chili|chilli|clove|coriander|cumin|garlic|ginger|keema|masala|oil|olive|oliveoil|onion|peas|potato|salt|tomato|turmeric|northindian|punjab
3,flour|ghee|paratha|salt|sugar|northindian|punjab
4,chana|corn|cumin|ginger|mango|oil|onion|potato|salt|turmeric|northindian|punjab
5,cucumber|juice|lemon|onion|salt|sugar|tomato
6,chicken|chili|clove|coriander|cumin|dal|dessert|garlic|ginger|juice|lemon|lentil|masala|onion|salt|turmeric|northindian
7,chili|chutney|coconut|mustard|oil|yogurt|southindian|karnataka
8,coriander|cumin|curry|fennel|fish|garlic|ginger|onion|salt|tamarind|tomato|turmeric|southindian|andhrapradesh
9,almond|bread|cardamom|cinnamon|clove|coconut|coriander|fennel|garlic|ginger|lamb|oil|olive|oliveoil|onion|pepper|roti|yogurt|northindian|kashmir
10,chicken|chili|clove|coriander|cream|cumin|dessert|garlic|ghee|ginger|juice|lemon|onion|salt|toast|tomato|turmeric|yogurt|northindian|punjab
11,beverage|bread|flour|garlic|milk|naan|salt|sugar|yeast|northindian|punjab
12,beverage|cardamom|carrot|chicken|chili|cinnamon|clove|coconut|coriander|cumin|curry|garlic|ghee|ginger|lentil|masala|milk|onion|potato|soup|turmeric|southindian|tamilnadu
13,bellpepper|carrot|cashew|clove|cream|curry|garlic|ginger|jalapeno|masala|oil|onion|peas|potato|salt|tomato|northindian|uttarpradesh
14,chicken|chili|cinnamon|clove|cream|cumin|curry|dessert|garlic|ghee|ginger|masala|oil|onion|salt|sugar|tomato|turmeric|northindian|punjab
15,bayleaf|beverage|chicken|chili|cinnamon|clove|coconut|curry|dessert|garlic|ginger|juice|lemon|masala|milk|oil|olive|oliveoil|onion|salt|sugar|tomato|yogurt
16,cardamom|chicken|chili|clove|coriander|cream|garlic|ginger|jalapeno|lime|masala|oil|olive|oliveoil|onion|rice|salt|tomato
17,chili|cumin|curry|garlic|ginger|lentil|masala|oil|onion|salt|sugar|tomato|turmeric
18,beverage|cauliflower|chicken|clove|coconut|curry|dessert|garlic|ginger|lime|masala|milk|onion|tomato|yogurt|northindian|delhi
19,bean|beverage|chickpea|chili|clove|coconut|cumin|curry|dessert|garlic|ginger|masala|milk|oil|onion|potato|salt|tomato|northindian|punjab
20,chicken|chili|coriander|cumin|curry|garlic|ginger|juice|lemon|masala|oil|onion|salt|tomato|turmeric|yogurt
